data_idx,input_length,nll,ppl,overall_ppl,cuda_vram_allocated,latency
1,2628,3.0674357414245605,21.48673439025879,21.61821746826172,12.751083850860596,0.04093122482299805
1,2629,2.1642446517944336,8.708022117614746,21.610740661621094,12.751121997833252,0.040926218032836914
1,2630,6.4145307540893555,610.6541748046875,21.63821029663086,12.751186847686768,0.04092907905578613
1,2631,1.6936306953430176,5.439192771911621,21.62685775756836,12.751207828521729,0.041216373443603516
1,2632,8.968433380126953,7851.29248046875,21.675355911254883,12.751259326934814,0.04099750518798828
1,2633,3.744600772857666,42.29212188720703,21.68085479736328,12.751354694366455,0.04097485542297363
1,2634,5.37604284286499,216.16519165039062,21.699792861938477,12.750850200653076,0.04100155830383301
1,2635,9.924875259399414,20432.359375,21.756258010864258,12.751457691192627,0.04093790054321289
1,2636,0.1506405621767044,1.1625787019729614,21.732099533081055,12.751505374908447,0.04096508026123047
1,2637,1.898960828781128,6.678950309753418,21.72237205505371,12.751583576202393,0.04100608825683594
1,2638,2.0078415870666504,7.447226047515869,21.713558197021484,12.75163221359253,0.0409848690032959
1,2639,6.900528907775879,992.7996215820312,21.745031356811523,12.751681804656982,0.04099440574645996
1,2640,3.932269811630249,51.02265930175781,21.752058029174805,12.751731395721436,0.04101276397705078
1,2641,3.3582382202148438,28.738515853881836,21.75435447692871,12.751842021942139,0.040999412536621094
1,2642,5.425458908081055,227.1155548095703,21.77367401123047,12.751891613006592,0.04108262062072754
1,2643,4.67170524597168,106.87984466552734,21.78679084777832,12.751941204071045,0.041033029556274414
1,2644,4.461375713348389,86.60657501220703,21.79816436767578,12.751990795135498,0.04103255271911621
1,2645,0.9107037782669067,2.4860715866088867,21.780271530151367,12.752070903778076,0.04106593132019043
1,2646,2.855422019958496,17.381771087646484,21.778417587280273,12.75212049484253,0.041086435317993164
1,2647,6.562626838684082,708.12939453125,21.807079315185547,12.752170085906982,0.04108309745788574
1,2648,6.580626964569092,720.9912109375,21.83591651916504,12.752219676971436,0.04105114936828613
1,2649,1.5311545133590698,4.623511791229248,21.823123931884766,12.7518630027771,0.04110884666442871
1,2650,5.511622905731201,247.5525665283203,21.843128204345703,12.752384662628174,0.04111170768737793
1,2651,1.8882372379302979,6.607710838317871,21.833282470703125,12.752432346343994,0.04108285903930664
1,2652,9.110770225524902,9052.2646484375,21.882957458496094,12.752480030059814,0.04117465019226074
1,2653,7.063459396362305,1168.4803466796875,21.915788650512695,12.752559185028076,0.04111504554748535
1,2654,3.727285861968994,41.56613540649414,21.921077728271484,12.75260877609253,0.04111337661743164
1,2655,4.004890441894531,54.86581039428711,21.92865753173828,12.752658367156982,0.041155099868774414
1,2656,8.808448791503906,6690.53271484375,21.975929260253906,12.752707958221436,0.0411534309387207
1,2657,5.267035007476807,193.8403778076172,21.99394989013672,12.752818584442139,0.041140079498291016
1,2658,1.3307582139968872,3.7839112281799316,21.979387283325195,12.752868175506592,0.04117441177368164
1,2659,2.4659323692321777,11.774455070495605,21.974231719970703,12.752917766571045,0.04117417335510254
1,2660,1.655061960220337,5.233404159545898,21.962377548217773,12.752967357635498,0.04118800163269043
1,2661,0.7011041045188904,2.015977382659912,21.942678451538086,12.753047466278076,0.04120492935180664
1,2662,0.010337617248296738,1.0103912353515625,21.917320251464844,12.75309705734253,0.04125571250915527
1,2663,1.8576881885528564,6.4089035987854,21.90719985961914,12.755094051361084,0.04121279716491699
1,2664,4.7167582511901855,111.80522918701172,21.920612335205078,12.754165172576904,0.04123640060424805
1,2665,2.9996302127838135,20.07811164855957,21.919891357421875,12.755238056182861,0.04122805595397949
1,2666,7.672053337097168,2147.486572265625,21.957618713378906,12.754906177520752,0.041231393814086914
1,2667,6.830577850341797,925.7256469726562,21.98844337463379,12.755320072174072,0.04122638702392578
1,2668,5.945921897888184,382.1915588378906,22.01198387145996,12.755358219146729,0.041249990463256836
1,2669,10.514633178710938,36850.82421875,22.073293685913086,12.75542688369751,0.041253089904785156
1,2670,8.699389457702637,5999.248046875,22.119674682617188,12.755465984344482,0.041272878646850586
1,2671,3.253342866897583,25.876697540283203,22.1209774017334,12.755506038665771,0.041268110275268555
1,2672,3.1381354331970215,23.060829162597656,22.1213321685791,12.75554609298706,0.041314125061035156
1,2673,2.0214579105377197,7.549323081970215,22.112436294555664,12.7556471824646,0.04151105880737305
1,2674,4.941814422607422,140.02407836914062,22.127708435058594,12.75476598739624,0.04133772850036621
1,2675,6.820406436920166,916.3573608398438,22.15852928161621,12.755731105804443,0.04128861427307129
1,2676,1.136845350265503,3.116919994354248,22.142290115356445,12.7557692527771,0.04131960868835449
1,2677,1.1433768272399902,3.1373445987701416,22.126136779785156,12.75583791732788,0.04130387306213379
1,2678,4.137721538543701,62.659889221191406,22.134737014770508,12.75587797164917,0.04131054878234863
1,2679,0.04562481865286827,1.0466816425323486,22.10953712463379,12.755918025970459,0.04135489463806152
1,2680,1.8201721906661987,6.172921657562256,22.09901237487793,12.755958080291748,0.041311025619506836
1,2681,2.549875497817993,12.805509567260742,22.094512939453125,12.756059169769287,0.0413360595703125
1,2682,0.7528554201126099,2.123053789138794,22.075225830078125,12.755820751190186,0.041417837142944336
1,2683,5.566258907318115,261.45416259765625,22.095577239990234,12.75614309310913,0.04136300086975098
1,2684,2.086172342300415,8.054028511047363,22.087265014648438,12.756181240081787,0.04137825965881348
1,2685,9.203889846801758,9935.7021484375,22.137577056884766,12.756249904632568,0.041391611099243164
1,2686,0.23071645200252533,1.2595020532608032,22.113964080810547,12.756289958953857,0.04141879081726074
1,2687,5.298112392425537,199.95899963378906,22.13208770751953,12.756330013275146,0.04143476486206055
1,2688,2.80849027633667,16.58485984802246,22.129724502563477,12.756370067596436,0.04146289825439453
1,2689,0.5942741632461548,1.8117153644561768,22.109130859375,12.756471157073975,0.04142951965332031
1,2690,4.694526195526123,109.34699249267578,22.122264862060547,12.756511211395264,0.04139351844787598
1,2691,0.13084210455417633,1.1397877931594849,22.097900390625,12.756551265716553,0.04142165184020996
1,2692,3.0602195262908936,21.332239151000977,22.097610473632812,12.756591320037842,0.04148364067077637
1,2693,3.947352170944214,51.79803466796875,22.104602813720703,12.756661891937256,0.04144454002380371
1,2694,4.213359832763672,67.5832290649414,22.113784790039062,12.756701946258545,0.04172945022583008
1,2695,6.293241024017334,540.903564453125,22.140029907226562,12.756742000579834,0.04145455360412598
